  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.170 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   2.000   0.6954   0.01201   0.00514  -0.1043   0.6822   1.0000
   4.000   0.9062   0.01375   0.00644  -0.1014   0.6011   1.0000
   6.000   1.1111   0.01581   0.00849  -0.0977   0.5243   1.0000
   8.000   1.2874   0.01769   0.01065  -0.0888   0.4167   1.0000
  10.000   1.3723   0.02296   0.01549  -0.0670   0.2099   1.0000
  12.000   1.3567   0.03950   0.03146  -0.0449   0.0808   1.0000
  14.000   1.3893   0.05673   0.04901  -0.0345   0.0543   1.0000
  16.000   1.4315   0.07562   0.06875  -0.0286   0.0420   1.0000
  18.000   1.3467   0.11508   0.11003  -0.0380   0.0383   1.0000
  20.000   0.7253   0.21217   0.20862  -0.0736   0.0724   1.0000
  22.000   0.7514   0.23565   0.23224  -0.0811   0.0569   1.0000
